source,extension,stressor,region,sector,year,original_value,corrected_value,correction_method,fit_window,correction_reason,replaced_nonzero_source,prediction_clipped_to_zero,basis_label,delta,abs_delta,abs_pct_change
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2017,0.0,9876.901804630346,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,9876.901804630346,9876.901804630346,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2018,0.0,7730.822136932449,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,7730.822136932449,7730.822136932449,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2019,0.0,8093.308036090125,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,8093.308036090125,8093.308036090125,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2020,0.0,7887.923162179973,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,7887.923162179973,7887.923162179973,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2021,0.0,79391.41012089953,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,79391.41012089953,79391.41012089953,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2022,0.0,72923.57682011707,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,72923.57682011707,72923.57682011707,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Air transport services (62),2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,True,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Aluminium and aluminium products,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Animal products nec,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Anthracite,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Aviation Gasoline,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Basic iron and steel and of ferro-alloys and first products thereof,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Beverages,2021,0.0,26.610808569955037,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,26.610808569955037,26.610808569955037,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Biodiesels,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Biogas,2021,0.0,0.26260047353082255,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.26260047353082255,0.26260047353082255,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Biogasoline,2021,0.0,0.0,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,0.0,0.0,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,"Bricks, tiles and construction products, in baked clay",2021,0.0,351.86256408567135,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,351.86256408567135,351.86256408567135,
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,Cattle,2021,1.1218,49834.248440353855,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,True,False,positive_factor_inputs_sum_by_region_sector,49833.126640353854,49833.126640353854,44422.469816681994
exiobase_3102_pxp,nutrients,P - agriculture - water,CH,"Cement, lime and plaster",2021,0.0,2.8245637385171776,ols_level,1995-2020,CH correction: 2021 and 2022 extension data are incoherently too small.,False,False,positive_factor_inputs_sum_by_region_sector,2.8245637385171776,2.8245637385171776,
